              open   close    high     low         value   quantity                 end
begin                                                                                  
2023-01-03  141.60  141.78  143.25  141.56  3.000248e+09   21098550 2023-01-03 23:59:59
2023-01-04  141.85  141.43  142.28  140.75  2.419429e+09   17112740 2023-01-04 23:59:59
2023-01-05  141.60  141.27  141.84  140.54  2.435171e+09   17245300 2023-01-05 23:59:59
2023-01-06  141.39  141.40  141.62  140.90  1.504731e+09   10657600 2023-01-06 23:59:59
2023-01-09  141.83  142.40  142.99  141.65  4.480148e+09   31449160 2023-01-09 23:59:59
2023-01-10  142.10  142.81  142.85  141.31  3.368938e+09   23718180 2023-01-10 23:59:59
2023-01-11  142.97  149.96  149.98  142.87  1.809715e+10  123147040 2023-01-11 23:59:59
2023-01-12  150.02  149.30  150.79  148.39  6.982668e+09   46789300 2023-01-12 23:59:59
2023-01-13  149.58  151.69  153.28  147.71  1.337466e+10   88520210 2023-01-13 23:59:59
2023-01-16  152.89  153.71  154.00  151.88  7.920014e+09   51753920 2023-01-16 23:59:59
2023-01-17  154.00  150.45  154.31  150.01  1.279044e+10   84404770 2023-01-17 23:59:59
2023-01-18  150.40  151.47  153.00  149.41  1.023502e+10   67511970 2023-01-18 23:59:59
2023-01-19  151.20  149.34  152.85  148.56  1.002771e+10   66813960 2023-01-19 23:59:59
2023-01-20  149.70  151.38  151.40  148.64  6.633881e+09   44254820 2023-01-20 23:59:59
2023-01-23  151.90  153.50  154.10  151.01  8.453401e+09   55198870 2023-01-23 23:59:59
2023-01-24  153.95  152.66  155.58  152.28  1.212620e+10   78734130 2023-01-24 23:59:59
2023-01-25  152.45  152.81  153.60  151.50  6.613610e+09   43376700 2023-01-25 23:59:59
2023-01-26  153.32  152.40  154.30  151.73  6.966980e+09   45513320 2023-01-26 23:59:59
2023-01-27  152.40  153.20  153.48  151.69  5.213965e+09   34123690 2023-01-27 23:59:59
2023-01-30  153.50  153.38  153.88  152.21  4.760702e+09   31105220 2023-01-30 23:59:59
2023-01-31  153.51  158.07  158.18  153.30  1.212775e+10   77890320 2023-01-31 23:59:59
2023-02-01  158.20  158.29  159.60  156.50  1.048071e+10   66332200 2023-02-01 23:59:59
2023-02-02  158.40  159.45  160.29  157.37  8.572049e+09   53866380 2023-02-02 23:59:59
2023-02-03  159.10  161.26  162.32  157.88  1.019400e+10   63735330 2023-02-03 23:59:59
2023-02-06  161.78  167.09  167.17  161.01  1.466640e+10   89083530 2023-02-06 23:59:59
2023-02-07  167.30  165.39  168.70  163.40  1.534591e+10   92661570 2023-02-07 23:59:59
2023-02-08  165.00  164.15  166.35  162.70  9.652989e+09   58669030 2023-02-08 23:59:59
2023-02-09  164.33  165.31  167.47  161.27  1.760888e+10  107139220 2023-02-09 23:59:59
2023-02-10  165.00  165.52  166.49  164.50  6.774230e+09   40924680 2023-02-10 23:59:59
2023-02-13  165.20  164.32  166.88  164.17  5.995183e+09   36212200 2023-02-13 23:59:59
2023-02-14  164.30  161.86  164.38  161.64  9.574244e+09   58832960 2023-02-14 23:59:59
2023-02-15  160.94  156.25  161.12  153.83  1.799286e+10  113804160 2023-02-15 23:59:59
2023-02-16  157.33  158.22  159.30  156.25  1.082426e+10   68549280 2023-02-16 23:59:59
2023-02-17  158.00  159.73  160.38  156.91  8.295150e+09   52179940 2023-02-17 23:59:59
2023-02-20  159.41  160.09  161.30  156.73  1.015161e+10   63971610 2023-02-20 23:59:59
2023-02-21  160.66  164.15  165.65  159.26  2.081006e+10  127422480 2023-02-21 23:59:59
2023-02-22  164.13  163.37  164.42  162.50  7.150966e+09   43772430 2023-02-22 23:59:59
2023-02-24  163.33  164.30  165.50  163.10  6.199626e+09   37727230 2023-02-24 23:59:59
2023-02-27  163.52  169.95  170.00  162.96  1.678074e+10  100133280 2023-02-27 23:59:59
2023-02-28  170.50  169.82  171.92  168.37  1.372728e+10   80748140 2023-02-28 23:59:59
2023-03-01  170.40  170.53  171.66  169.50  9.167860e+09   53784730 2023-03-01 23:59:59
2023-03-02  170.40  168.05  170.40  166.55  1.451775e+10   86095640 2023-03-02 23:59:59
2023-03-03  168.17  171.16  171.26  167.90  8.415477e+09   49566770 2023-03-03 23:59:59
2023-03-06  172.14  171.84  172.99  171.35  1.111158e+10   64585290 2023-03-06 23:59:59
2023-03-07  171.87  174.01  174.20  171.00  9.555925e+09   55287380 2023-03-07 23:59:59
2023-03-09  174.85  172.55  174.89  172.21  1.394316e+10   80393110 2023-03-09 23:59:59
