<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
240126 100000 165.6600000 165.9100000 165.6600000 165.8400000 133970
240126 100100 165.8400000 165.9000000 165.8200000 165.8700000 34190
240126 100200 165.8700000 165.9500000 165.8600000 165.8900000 60400
240126 100300 165.9000000 165.9000000 165.7800000 165.7900000 46840
240126 100400 165.8000000 165.8800000 165.3500000 165.3700000 198490
240126 100500 165.3600000 165.5800000 165.3600000 165.5800000 80380
240126 100600 165.5500000 165.5500000 165.4700000 165.5000000 59780
240126 100700 165.4900000 165.5000000 165.4700000 165.4900000 9540
240126 100800 165.4900000 165.5000000 165.4100000 165.4100000 17000
240126 100900 165.4000000 165.4100000 165.3000000 165.3400000 284040
240126 101000 165.3400000 165.3800000 165.3300000 165.3800000 37550
240126 101100 165.3800000 165.4000000 165.3700000 165.3800000 71980
240126 101200 165.3900000 165.3900000 165.3800000 165.3900000 41850
240126 101300 165.3800000 165.3800000 165.3700000 165.3700000 12570
240126 101400 165.3800000 165.4000000 165.3800000 165.3900000 35290
240126 101500 165.3900000 165.3900000 165.3400000 165.3600000 48420
240126 101600 165.3500000 165.3600000 165.2500000 165.2500000 178360
240126 101700 165.2600000 165.2700000 165.2300000 165.2300000 256910
240126 101800 165.2400000 165.2400000 165.0600000 165.1000000 246830
240126 101900 165.1000000 165.1000000 165.0600000 165.0600000 33100
240126 102000 165.0700000 165.0900000 165.0400000 165.0500000 96460
240126 102100 165.0500000 165.0700000 165.0500000 165.0700000 79140
240126 102200 165.0700000 165.4000000 165.0700000 165.3900000 137200
240126 102300 165.4000000 165.4900000 165.3900000 165.4400000 81820
240126 102400 165.4300000 165.4400000 165.4100000 165.4200000 23240
240126 102500 165.4200000 165.4200000 165.2000000 165.3800000 173910
240126 102600 165.3900000 165.3900000 165.3200000 165.3400000 45120
240126 102700 165.3300000 165.3300000 165.2600000 165.3100000 9810
240126 102800 165.3200000 165.4100000 165.3100000 165.3900000 5160
240126 102900 165.4100000 165.4900000 165.3900000 165.4900000 53540
240126 103000 165.4700000 165.5600000 165.4700000 165.5600000 40390
240126 103100 165.5500000 165.6000000 165.5500000 165.6000000 43410
240126 103200 165.6000000 165.6000000 165.5600000 165.5700000 11290
240126 103300 165.5700000 165.5700000 165.5000000 165.5100000 20530
240126 103400 165.5100000 165.5100000 165.4500000 165.4500000 25690
240126 103500 165.4500000 165.4600000 165.3400000 165.3900000 34750
240126 103600 165.4000000 165.4000000 165.3600000 165.3600000 23800
240126 103700 165.3700000 165.3700000 165.3600000 165.3600000 6140
240126 103800 165.3600000 165.3600000 165.3300000 165.3400000 19510
240126 103900 165.3500000 165.3500000 165.3400000 165.3500000 8190
240126 104000 165.3400000 165.3400000 165.3100000 165.3400000 27990
240126 104100 165.3300000 165.3500000 165.3200000 165.3500000 16930
240126 104200 165.3500000 165.4400000 165.3400000 165.4300000 18820
240126 104300 165.4200000 165.4400000 165.3900000 165.4000000 38320
240126 104400 165.4000000 165.6200000 165.3900000 165.5800000 88190
240126 104500 165.6100000 165.6100000 165.5700000 165.6000000 27900
240126 104600 165.6000000 165.7000000 165.6000000 165.6900000 14760
240126 104700 165.6900000 165.8500000 165.6000000 165.8000000 282460
240126 104800 165.8000000 165.8000000 165.7100000 165.7700000 42870
240126 104900 165.7700000 165.8000000 165.7600000 165.8000000 16420
240126 105000 165.8000000 165.8000000 165.7300000 165.7900000 43360
240126 105100 165.7900000 165.8000000 165.7600000 165.7700000 7670
240126 105200 165.7700000 165.7900000 165.7700000 165.7800000 14610
240126 105300 165.7900000 165.7900000 165.7600000 165.7600000 13000
240126 105400 165.7600000 165.7600000 165.6900000 165.6900000 14010
